year,organization group,job,salaries,overtime,other salaries,retirement,health and dental,other benefits
2013,"Public Works, Transportation & Commerce",Parking Control Officer,47307.28,5786.66,1712.83,8865.9,10670.16,4419.84
2013,Public Protection,Deputy Sheriff,91142.26,11376.27,15759.49,20931.34,12851.03,1996.27
2013,Community Health,Food Service Worker,46066.5,1612.33,2647.64,9648.43,12851.03,4194.27
2013,Public Protection,Police Officer 3,123471.01,342.98,12083.03,24918.39,12918.24,339.59
2013,Public Protection,"Chf Prob Ofc, Juv Court",59591.67,0,0,10183.04,3827.63,3371.29
2013,Human Welfare & Neighborhood Development,IS Business Analyst,90962.15,0,0,16564.19,12801.79,7169.61
2013,"Public Works, Transportation & Commerce",Assoc Engineer,114386.02,0,4694.76,22808.55,12918.25,9441.83
2013,General Administration & Finance,Publ Svc Aide-Asst To Prof,4882.59,0,0,0,1716.44,378.01
2013,Community Health,Porter,55026.03,308.1,4037.1,10939.86,12918.24,4895.45
2013,General Administration & Finance,Automotive Machinist,76804,110.78,8967.94,15619.07,12801.79,6915.25
2013,Community Health,Registered Nurse,110204.5,0,12230.93,22626.44,11271.73,8157.72
2013,"Public Works, Transportation & Commerce","Chf Statnry Eng,Wtrtreat Plnt",109742.04,5735.25,19529.83,22600.58,12918.26,9626.31
2013,Public Protection,Police Officer,18594,0,0,3871.26,2870.73,1438.64
2013,Culture & Recreation,Recreation Leader,14310,0,297,0,3914.41,1130.88
2013,"Public Works, Transportation & Commerce",Assoc Engineer,113723.35,0,0,21775.17,12843.84,9123.31
2013,Culture & Recreation,Library Assistant,48819.33,0,1450.21,9154.09,10798.44,4096.73
2013,Human Welfare & Neighborhood Development,Eligibility Worker,32701.6,411.27,0,5955,8074.98,2655.77
2013,Community Health,Nurse Manager,165424,0,22975.77,34849.62,12918.24,10639.64
2013,Community Health,Registered Nurse,118279.71,0,22111.63,29299.73,11400.35,7355.42
2013,Culture & Recreation,Recreation Leader,202.35,0,0,0,73.86,15.67
2013,General Administration & Finance,Auditor III,30775.68,0,0,5604.22,4179.05,2413.19
2013,Culture & Recreation,Library Assistant,34434.13,0,548.38,7244.86,8468.87,2923.12
2013,Public Protection,Lieutenant 3,115710.13,1622.21,13692.37,21852.51,9232.06,325.47
2013,Community Health,Senior Physician Specialist,18485.25,0,8742.58,3273.75,1230.94,519.27
2013,Public Protection,"Captain, Fire Suppression",153763.79,36599.96,31135.49,34946.37,15645.43,3712.85
2013,General Administration & Finance,Custodian,53191.8,458.56,0,9686.23,12851.02,4247
2013,Community Health,Food Service Worker,9179.1,7385.7,188,0,3014.26,1297
2013,Community Health,Medical Social Worker,60044.73,0,720,2301.49,10518.39,4704.04
2013,Community Health,Psychiatric Social Worker,74803.4,0,0,13621.6,12801.79,6359.1
2013,Public Protection,Firefighter,112889.82,81942.77,19225.84,22491.86,15683.42,3466.36
2013,General Administration & Finance,Attorney (Civil/Criminal),172588.04,0,937,30731.27,12801.79,10632.31
2013,"Public Works, Transportation & Commerce",Principal Clerk,62676.79,0,562.96,11515.93,11549.61,5329.2
2013,"Public Works, Transportation & Commerce",Transit Car Cleaner Asst Sprv,49726.42,1360.3,9713.49,11291.63,9581.87,4803.46
2013,Community Health,Nurse Practitioner,18160.52,0,1816.05,33562.34,0,9986.68
2013,Public Protection,Captain (Police Department),29347,0,21161.44,5221.05,1969.5,783.21
2013,Public Protection,Firefighter,112889.81,29401.18,18842.61,22491.86,15683.42,2632.36
2013,Public Protection,Sergeant 3,68991.04,7778.17,130322.05,12886.5,6219.89,251.33
2013,"Public Works, Transportation & Commerce",Museum Preparator,9941.2,0,0,0,2775.04,769.65
2013,"Public Works, Transportation & Commerce",Transit Operator,62996.86,19529,3327.03,16980.67,13134.4,7300.36
2013,Public Protection,Police Officer 2,116584,7812.21,7246.64,21769.23,12801.79,328.68
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",25187.2,232.9,0,0,6315.61,1968.02
2013,Community Health,Licensed Vocational Nurse,64154.01,1683.43,3412.46,11853.28,12801.79,5559.67
2013,Public Protection,Criminalist I,73597.71,0,0,14485.29,12918.24,5941.69
2013,"Public Works, Transportation & Commerce",Automotive Machinist Sprv 1,105328.59,0,964.01,20615.8,12918.25,8783.33
2013,Community Health,Special Nurse,62980.76,290.86,2047.82,1988.9,4997.62,3243.03
2013,Community Health,Stationary Engineer,20025.97,0,78.38,0,0,1588.24
2013,Public Protection,Police Officer 3,118326.65,17979.41,5536.02,21100.06,12740.24,2357.69
2013,General Administration & Finance,IS Business Analyst-Senior,109634.04,606.31,0,21003.06,12918.24,8866.65
2013,Culture & Recreation,Curator 2,31370.67,0,0,5712.6,4784.54,2550.59
2013,General Administration & Finance,"Claims Investigator, Ca",98488.02,0,0,17934.57,12801.79,8149.55
2013,Public Protection,Senior Legal Process Clerk,25275.62,351.3,763.36,4648.79,5105.1,2180.98
2013,Public Protection,Sergeant 3,129358.29,27298.02,29725.62,24416.54,12001.67,408.1
2013,Community Health,Patient Care Assistant,52458.17,89.16,7884.66,10500.8,12824.8,4779.67
2013,Human Welfare & Neighborhood Development,Protective Services Worker,91702.1,590.23,4585.36,17533.91,12801.79,8094.75
2013,"Public Works, Transportation & Commerce",Publ Svc Aide-Asst To Prof,1463.08,0,298.1,0,529.3,136.35
2013,Public Protection,Senior Administrative Analyst,82477.11,0,0,15019.1,12801.79,6485.5
2013,"Public Works, Transportation & Commerce",Transit Operator,67202.53,18865.1,1638.14,18582.77,13615.05,6641.95
2013,Community Health,Porter,52988,0,4013.1,9762.75,12801.79,4747.36
2013,"Public Works, Transportation & Commerce",Custodian,48135.31,36.39,582.3,10856.39,12152.72,4272.2
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,3552.1,0,0,0,1683.31,256.05
2013,General Administration & Finance,Publ Svc Aide-Asst To Prof,4976.16,0,0,0,1800.26,385.26
2013,Community Health,Nurse Practitioner,150469.2,0,250,32616.44,12918.24,9926.91
2013,Community Health,Physician Assistant,78616.11,0,506.98,15108.35,0,6488.69
2013,General Administration & Finance,Junior Clerk,11714.47,0,0,0,3905.16,906.93
2013,General Administration & Finance,Deputy Court Clerk II,0,0,1230.09,0,0,0
2013,Public Protection,Clerk Typist,52728,0,624,9715.41,12801.79,4457.81
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,4753.39,0,0,0,2252.63,368.01
2013,Human Welfare & Neighborhood Development,Manager II,124262.04,0,0,23805.59,12918.25,14264.63
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",7660.8,0,0,0,1772.56,593.1
2013,General Administration & Finance,Attorney (Civil/Criminal),172588.03,0,4389.64,31342.78,12801.79,10606.39
2013,Culture & Recreation,Camp Assistant,2685.25,0,0,0,1437.13,207.89
2013,"Public Works, Transportation & Commerce",Transit Operator,51641.41,3903.3,5396.77,14599.19,10766.86,4719.52
2013,Public Protection,"Director, Probation Services",128567.7,0,0,22635.44,12918.24,9637.42
2013,General Administration & Finance,Sr Payroll & Personnel Clerk,450.4,0,0,0,95.69,34.87
2013,Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,80080,6578.54,0,14582.61,12801.79,7221.4
2013,Public Protection,Attorney (Civil/Criminal),185718.04,0,937.5,33056.79,12801.79,14046.47
2013,Community Health,Central Processing & Dist Tech,68557.3,2450.46,7460.59,13041.04,12752.56,6500.5
2013,Community Health,Accountant Intern,40906.97,0,0,7987.46,9311.91,3177.59
2013,Public Protection,Firefighter,25134.91,1067.5,214.81,5270.65,4353.93,1797.25
2013,Community Health,Special Nurse,51507.49,2107.98,3450.87,0,5053.01,4418.08
2013,"Public Works, Transportation & Commerce",Custodian,55026,0,4418.83,11471.93,12918.24,4812.83
2013,Public Protection,Police Officer,8200.8,0,0,1452.37,1181.7,634.35
2013,Culture & Recreation,Custodian,52988,650.39,3576.67,10068.83,12801.79,4528.6
2013,Community Health,Special Nurse,1318.8,0,0,0.01,0,857.62
2013,"Public Works, Transportation & Commerce",School Crossing Guard,7915.14,0,0,0,0,625.3
2013,General Administration & Finance,Planner 5,54486.66,0,0,0,0,4304.45
2013,General Administration & Finance,General Laborer,42448.01,0,0,8790.98,11029.24,3258.91
2013,General Administration & Finance,"Head Atty, Civil & Criminal",157671.02,0,937,29781.7,10525.98,10056.21
2013,Community Health,Food Service Worker,45713.5,4602.66,2709.72,9692.67,12752.55,4412.25
2013,Public Protection,Firefighter,127767.71,28267.12,11433.28,26069.02,13875.15,2737.68
2013,Culture & Recreation,Recreation Specialist,32208.21,0,420.18,6757.33,7985.73,2646.66
2013,"Public Works, Transportation & Commerce",Truck Driver,80052.15,4179.72,8874.81,17481.24,12918.25,7408.31
2013,Community Health,Morgue Attendant,5579.99,0,0,0,0,440.82
2013,General Administration & Finance,Mayoral Staff XI,92175.5,0,0,18137.03,12918.24,6887.86
2013,Community Health,Health Worker 3,62371.65,3249.9,2739.71,11490.23,12669.28,5707.16
2013,Public Protection,EMT/Paramedic/Firefighter,7400.96,0,563.28,1388.99,816.84,130.07
2013,Public Protection,Police Officer,108257.03,9282.82,5326.18,19318.16,12863.33,934.97
2013,Community Health,Health Care Billing Clerk 2,66846,2217.49,0,12172.68,12801.79,5690.7
2013,Community Health,Clinical Psychologist,60652.8,0,374.4,11113.17,7681.08,5025.66
2013,"Public Works, Transportation & Commerce",Permit And Citation Clerk,27551.58,0,0,5017.09,5509.63,2442.9
2013,"Public Works, Transportation & Commerce",Transit Operator,66518.3,5277.2,441.08,18091.68,13476.42,5567.94
2013,Culture & Recreation,Recreation Leader,10433.36,0,380.8,0,4270.21,837.23
2013,Culture & Recreation,Librarian 1,952.2,0,4.5,174.21,153.87,119.42
2013,Public Protection,Sergeant 2,31272,7366.02,2207.33,6392.94,2870.73,682.04
2013,"Public Works, Transportation & Commerce",Automotive Mechanic,27476.2,8516.92,3843.85,5615.56,4628.34,3206.15
2013,"Public Works, Transportation & Commerce","Manager I, MTA",2094,0,0,370.85,246.19,165.43
2013,"Public Works, Transportation & Commerce",Junior Engineer,83408,2526.3,0,15188.68,12801.79,6376.49
2013,"Public Works, Transportation & Commerce",Power Generation Technician 2,89516.63,34647.46,8577.59,17163.3,12826.41,9922.83
2013,"Public Works, Transportation & Commerce",Junior Engineer,70646.4,452.93,0,12864.65,12801.72,5762.06
2013,Community Health,Public Service Trainee,2314.5,0,0,0,541.61,179.19
2013,General Administration & Finance,Commissioner No Benefits,6140,0,0,0,377.89,475.37
2013,Community Health,Physical Therapist,66509.04,0,0,12650.06,7852.61,4570.17
2013,General Administration & Finance,Perf Analyst III Project Mgr,121423.9,0,0,23309.8,12918.24,9505.49
2013,Human Welfare & Neighborhood Development,Human Services Technician,63720.01,0,1500,12810.84,12918.24,4884.43
2013,"Public Works, Transportation & Commerce",Asst Engr,94276.04,0,0,17167.6,12801.79,7646.68
2013,"Public Works, Transportation & Commerce",Transit Operator,4406.15,0,16.37,1026.48,1458.17,342.03
2013,Community Health,Special Nurse,2307.9,0,544.02,0,0,1609.62
2013,Public Protection,Police Officer,106879.65,8964.94,8103.82,20373.1,12918.24,2055.65
2013,Human Welfare & Neighborhood Development,Senior Eligibility Worker,75033.01,4272.71,1540,15047.84,12918.24,6500.22
2013,General Administration & Finance,Clerk,2779.24,0,0,507.09,0,219.57
2013,General Administration & Finance,Principal Clerk,4618,0,0,984.56,956.91,359.89
2013,Public Protection,"Insp, Fire Dept",134472,10724.79,8068.32,25243.92,12801.79,2500.51
2013,"Public Works, Transportation & Commerce",Truck Driver,63866.84,845.75,1617.58,12932.04,11354.32,5308.58
2013,General City Responsibilities,Transit Operator,0,0,12962.56,0,0,994.53
2013,General Administration & Finance,Senior Account Clerk,5982,0,0,1484.73,1435.36,473.33
2013,Community Health,Dietitian,79299.03,0,200,14440.28,12801.79,6335.09
2013,Community Health,Physician Assistant,121915.7,0,3135.39,21985.86,10290.67,9471.03
2013,Community Health,Patient Care Assistant,53522.56,103.85,4217.01,11002.85,12715.02,4769.61
2013,Public Protection,Deputy Court Clerk II,75495.4,0,1002,13800.22,12755.63,6200.45
2013,Public Protection,Firefighter,125323.16,22285.11,26249.69,25711.86,14329.38,2873.3
2013,Culture & Recreation,Museum Guard,16526.08,309.64,0,0,4137.12,1303.43
2013,"Public Works, Transportation & Commerce",Junior Engineer,26126.8,0,0,0,4688.86,2104.05
2013,Human Welfare & Neighborhood Development,Program Specialist,83160,0,0,16345.65,12918.24,6634.35
2013,"Public Works, Transportation & Commerce",Statnry Eng Water Treat Plant,86364.13,13112.17,14995.04,19153.48,12894.32,9317.5
2013,Community Health,Nurse Practitioner,106508.13,0,1562.08,5385.82,7931.39,9367.52
2013,"Public Works, Transportation & Commerce","Bdcomm Mbr, Grp2,M=$25/Mtg",125,0,0,0,29.9,9.69
2013,General Administration & Finance,Fiscal Technician,0,0,1230.09,0,0,0
2013,Public Protection,Police Officer 2,108902.61,37146.56,4135.97,19431.65,12801.79,2499.58
2013,"Public Works, Transportation & Commerce",Painter,60117.84,0,789,12022.71,9960.81,4760.39
2013,"Public Works, Transportation & Commerce",Transit Operator,68070.78,2966.71,3549.13,19368.7,13790.94,5853.52
2013,"Public Works, Transportation & Commerce",Dep Dir IV,123580.26,0,0,21886.14,8610.43,11104.62
2013,"Public Works, Transportation & Commerce",Transit Operator,68445.96,11623.9,4995.22,19849.33,13866.96,6685.74
2013,Public Protection,Inspector 2,127694,5514.06,72631.15,24167.49,12063.22,348.62
2013,Human Welfare & Neighborhood Development,Child Support Officer III,37033.17,0,0,6743.76,5169.96,2915.82
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,4169.79,0,0,0,1901.86,322.83
2013,Community Health,Nurse Midwife,2795.96,0,100,0,0,228.77
2013,Community Health,Special Nurse,34813.47,0,2935.18,7814.51,0,291.57
2013,Public Protection,Sergeant 2,18242,0,110.25,3250.17,1723.32,310.15
2013,Human Welfare & Neighborhood Development,Senior Clerk Typist,57876.05,0,624,10652.97,12801.79,4653.94
2013,Community Health,Special Nurse,9553.58,0,466.39,463.38,0,4986.79
2013,Public Protection,Deputy Probation Officer,92313.2,7899.15,5876.1,17752.72,12801.79,1802.48
2013,Public Protection,Deputy Sheriff,95396.82,43062.52,9962.13,20149.85,12918.24,2506.22
2013,Community Health,Nursing Assistant,3616.55,0,461.51,735,0,321.62
2013,Culture & Recreation,Security Guard,20913.7,4620.92,220.72,3848.61,4528.33,2277.65
2013,Community Health,Asst General Services Manager,73972.07,0,0,13470.23,12801.79,14992.57
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",16139.73,0,0,0,3600.38,1271.81
2013,Public Protection,Deputy Sheriff,23395.3,32.9,468.57,4438.35,7.59,308.06
2013,"Public Works, Transportation & Commerce",Senior Clerk Typist,54384.84,0,0,10590.98,11689.4,4432.17
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain1, Arch/Eng/Plng",9999.36,0,0,0,2505.9,774.15
2013,Community Health,Porter,47162.4,0,554.7,10656.19,12574.66,3864.65
2013,Community Health,Special Nurse,783.04,0,12.36,1229.24,0,839.83
2013,Public Protection,Deputy Sheriff,86583.16,2066.72,8513.27,18619.88,12851.02,1585
2013,Public Protection,Sr District Atty Investigator,114062,236.59,6844.8,21301.91,12918.24,1646.63
2013,"Public Works, Transportation & Commerce",Manager II,126669.01,0,0,24306.74,12918.24,17947.17
2013,Culture & Recreation,Pr Administrative Analyst,110708.16,0,0,19606.35,12801.79,8733.96
2013,"Public Works, Transportation & Commerce",Transit Supervisor,56224.2,13131.55,45257.44,13410.6,8173.43,8939.48
2013,Public Protection,Police Officer 3,6889.41,0,0,0,935.51,533.37
2013,Culture & Recreation,Gardener,59928.85,983.3,41.35,10920.49,12801.79,5103.5
2013,Human Welfare & Neighborhood Development,Clerk,40971.04,0,0,9407.24,10047.52,3136.67
2013,Human Welfare & Neighborhood Development,PS Aide To Prof,1340.1,0,0,277.54,443.14,119.62
2013,Community Health,Manager II,125944.69,0,0,24155.94,12918.23,16763.82
2013,"Public Works, Transportation & Commerce",Storekeeper,55510.02,720.58,5202.74,10108.3,12801.79,4439.33
2013,Public Protection,Employment & Training Spec 5,99036,0,648,19587.63,12918.24,8243.13
2013,General City Responsibilities,Recreation Director,1547.92,0,1888.18,330.64,0,266.78
2013,Public Protection,Police Officer,116478.04,8385.41,16518.09,22182.5,12918.24,2401.9
2013,Public Protection,Police Officer 3,11343.5,0,78.75,2022.89,1230.94,181.57
2013,"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",9620.63,0,0,0,2153.03,760.03
2013,"Public Works, Transportation & Commerce",Manager III,118058.07,0,0,22848.4,11369.26,16508.16
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,5156.06,0,0,0,2443.42,399.19
2013,"Public Works, Transportation & Commerce",Asst Engr,97751.32,0,4797.79,20168.55,12918.25,8224.25
2013,Community Health,Health Worker 2,55764.67,0,500,11709.55,12903.3,4510.25
2013,Culture & Recreation,Senior Stationary Engineer,85254.06,9821.66,6159.54,16579.22,12801.79,7931.03
2013,Public Protection,Deputy Sheriff,95410.85,33254.96,17652.84,21610.63,12918.25,2363.69
2013,Public Protection,"Counselor, Family Court Svc",111678,0,7833.24,23095.94,12894.32,9499.09
2013,"Public Works, Transportation & Commerce",Illustrator And Art Designer,70486.01,0,0,12835.5,12801.79,5490.28
2013,Community Health,Nurse Practitioner,87861.76,3323.18,12510.27,20076.6,7151.88,8028.08
2013,Public Protection,Firefighter,112889.83,34746.44,16199.47,22178.16,15683.42,2224.86
2013,Community Health,Psychiatric Technician,18372.46,0,8134.14,3444.75,3211.68,2156.55
2013,Community Health,Registered Nurse,26153,0,2048.54,5656.36,3082.89,-2164.33
2013,Community Health,Registered Nurse,93223.92,0,6644.24,4999.4,8985.36,8447.47
2013,"Public Works, Transportation & Commerce",Transit Operator,59063.58,11989.11,3405.96,15986.45,12314.34,5853.79
2013,"Public Works, Transportation & Commerce",Administrative Analyst,18030.03,0,0,3844.02,2870.73,1579.86
2013,"Public Works, Transportation & Commerce","Bdcomm Mbr, Grp5,M$100/Mo",1196.45,0,0,0,0,94.53
2013,Community Health,Accountant Intern,10570,0,0,2253.51,2392.27,833.9
2013,"Public Works, Transportation & Commerce",Parts Storekeeper,64827.01,770.43,1039.36,12865.69,12918.25,5000.55
2013,Community Health,Medical Evaluations Assistant,56833.69,0,1440,10575.21,12801.79,4767.34
2013,Community Health,Special Nurse,2196.4,0,192.18,1113.43,191.38,0
2013,"Public Works, Transportation & Commerce",Manager II,110709.51,0,3185.16,20170.77,12924.88,11375.49
2013,"Public Works, Transportation & Commerce",Engineering Associate 2,90220.03,6061.65,34.7,16435.43,12801.76,7747.67
2013,"Public Works, Transportation & Commerce",Transit Operator,58350.75,12829.18,5984.47,16472.33,12165.7,6073.37
2013,"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,17447.08,0,0,0,0,1378.32
2013,Public Protection,Mayoral Staff XIV,475.44,0,0,98.99,47.85,44.5
2013,Human Welfare & Neighborhood Development,Protective Services Worker,82953.73,0,0,15105.91,12801.79,6941.88
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,10623.34,0,236.9,0,4866.76,840.8
2013,General Administration & Finance,Senior Clerk,51586.6,0,612.11,9505.38,12555.6,3910.66
2013,General Administration & Finance,Communications Systems Tech,27808.12,0,28.47,0,3366.63,2155.12
2013,General Administration & Finance,Asst Forensic Toxicologist 1,36948.19,0,0,0,4423.85,2860.52
2013,Culture & Recreation,Librarian 1,25975.61,0,478.92,0,0,2089.9
2013,Human Welfare & Neighborhood Development,Eligibility Worker,5383.8,0,0,980.4,1329.41,437.49
2013,Community Health,Licensed Vocational Nurse,73238.78,0,257.28,14386.68,12854.5,5972.96
2013,"Public Works, Transportation & Commerce",Gardener,61958,4438.33,2825.54,11683.14,12801.79,5760.95
2013,"Public Works, Transportation & Commerce",Watershed Keeper,57224.81,2125.96,328.2,11247.62,12918.22,4830.96
2013,Public Protection,Sergeant 3,143289.05,41100.25,24022.29,27260.35,12918.25,3523.51
2013,Public Protection,Police Services Aide,2947.93,0,167.57,582.94,0,246.13
2013,Public Protection,Deputy Sheriff,85824.23,11741.05,12310.26,19214.72,12052.21,1286.33
2013,"Public Works, Transportation & Commerce",Manager III,39544,0,0,7003.28,3827.63,5960.36
2013,Community Health,Patient Care Assistant,38439.93,7266.93,408.37,4547.93,10594.76,3610.05
2013,Public Protection,IS Project Director,98217.01,0,0,18123.16,9090.62,7932.15
2013,General Administration & Finance,Custodian,55026.04,0,650.04,10940.29,12918.24,4594.04
2013,General Administration & Finance,Employee Relations Representat,64491,0,6697.04,11743.8,9108.97,5742.36
2013,Public Protection,Deputy Court Clerk III,93727.52,0,0,18388.01,12918.24,7790.56
2013,Public Protection,"Prdainvest,Specunit (SFERS)",61293.2,0,0,0,6105.47,4748.25
2013,Public Protection,Police Officer 2,121736.67,142.32,9843.85,23153.99,12918.24,2185.84
2013,"Public Works, Transportation & Commerce",Coord Of Citizen Involvement,33969.6,0,1911.81,6017.07,3827.63,2950.14
2013,General Administration & Finance,Manager IV,52062.15,0,0,0,4670.91,4030.65
2013,Public Protection,Attorney (Civil/Criminal),154073.05,0,937.5,27452.35,12801.79,10403.44
2013,Community Health,Medical Evaluations Assistant,55510.15,151.6,1351.6,10308.99,12801.79,4414.23
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,8221.1,0,0,0,3785.77,636.48
2013,Community Health,Home Health Aide,22587.92,2450.3,1125.85,4792.91,7694.92,2121.89
2013,Human Welfare & Neighborhood Development,Senior Social Worker,74412.03,0,1444,13813.39,12801.79,6236.2
2013,Public Protection,Captain 3,206820,738.47,10982.42,40070.39,12918.24,3605.91
2013,Community Health,Diagnostic Imaging Tech I,602.4,0,60.24,0,98.48,51.3
2013,Public Protection,"Lieutenant, Fire Suppression",138523.32,36449.29,16201.96,27370.73,14792.83,3131.68
2013,"Public Works, Transportation & Commerce",Transit Operator,65813.65,3503.18,2887.72,17585.95,13721.67,5316
2013,Community Health,Patient Care Assistant,5471.4,0,0,0,1578.89,423.59
2013,Community Health,Patient Care Assistant,17160.3,0,1555.07,0,4951.99,1448.95
2013,Public Protection,Deputy Sheriff,93614.14,38428.18,19724.18,21673.15,12677.04,2473.04
2013,Public Protection,"Insp, Fire Dept",105100.02,30324.44,6306,20532.55,9090.62,2455.16
2013,"Public Works, Transportation & Commerce",Transit Operator,39713.85,4840.6,543.95,10302.79,8280.04,3540.98
2013,Community Health,Patient Care Assistant,68391,4539.46,10709.69,14730.69,12918.24,6833.74
2013,"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",83471.93,10701.23,10487.28,16694.6,12727.93,8035.2
2013,Community Health,Registered Nurse,111203.4,0,22967.25,25788.41,11373.89,9811.65
2013,Community Health,Food Service Worker,27622.31,2665.64,1927.38,6153.63,7705.69,2598.01
2013,Community Health,Registered Nurse,112768.84,1692.87,23197.55,25436.06,11553.46,9933.95
2013,Community Health,Supervising Physician Spec,214942.03,0,0,38066.33,12801.79,11539.7
2013,"Public Works, Transportation & Commerce",Custodian,52988.3,0,5353.06,10623.95,12801.79,4862.03
2013,Community Health,Registered Nurse,109885.06,375.86,26879.68,26059.99,11376.74,10588.16
2013,Public Protection,Police Officer 2,83557.96,0,11483.64,14901.41,9108.96,1576.58
2013,General Administration & Finance,Planner 3,90427.62,0,0,16466.94,12801.79,7324.44
2013,Human Welfare & Neighborhood Development,Emp & Training Spec 4,39234.01,0,40,8326.32,6219.89,3055.98
2013,Public Protection,Senior Deputy Sheriff,95955.89,12106.19,11790.52,20655.47,11734.32,1920.44
2013,Community Health,Registered Nurse,96796.14,31.03,12224.03,1856.75,9329.67,1003.14
2013,Culture & Recreation,Camp Assistant,4600,0,152.72,0,2392.26,367.96
2013,Community Health,Special Nurse,2730.3,0,248.32,2493,239.23,1742.29
2013,"Public Works, Transportation & Commerce",Senior Clerk,52598.09,0,0,9578.13,12801.78,4406.41
2013,"Public Works, Transportation & Commerce",Automotive Mechanic,79283.5,35027.17,19596.53,18257.7,12918.24,9622.15
2013,Human Welfare & Neighborhood Development,Emp & Training Spec 2,76596.02,0,1884.01,14291.21,12801.79,6285.49
2013,Public Protection,Sergeant 3,137790.8,16974.15,10485.27,24547.14,12740.24,2678.57
2013,Community Health,Home Health Aide,37034.42,7656.7,3788.56,1737.66,12949.51,3872.91
2013,Public Protection,Deputy Sheriff,93439.72,1945.07,3235.88,18483.72,12798.04,1608.66
2013,"Public Works, Transportation & Commerce",Asst Engr,39886.04,0,0,7263.23,5262.96,3287.24
2013,"Public Works, Transportation & Commerce",Utility Plumber Supervisor 1,106132,19863.46,5810.67,19909.34,12801.79,9271.97
2013,Culture & Recreation,Custodian,33240.81,0,581.69,6419.19,7803.81,2630.85
2013,"Public Works, Transportation & Commerce","Manager II, MTA",16370.12,0,0,3490.12,1913.81,1368.9
2013,"Public Works, Transportation & Commerce",Gardener,27881.1,0,0,5077.1,5597.91,2286.33
2013,"Public Works, Transportation & Commerce",Electrical Transit System Mech,82674.9,22519.2,5691.88,16440.23,12918.26,8381.58
2013,Culture & Recreation,Recreation Leader,7288.82,0,49.95,0,2585.15,568.16
2013,General Administration & Finance,Junior Clerk,8663.15,837.73,581.55,0,2887.98,780.59
2013,Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,13373.03,78.68,0,0,6112.24,1041.44
2013,Public Protection,Attorney (Civil/Criminal),138881.02,0,1250,26879.06,12918.24,9847.88
2013,Community Health,Patient Care Assistant,47893.03,0,2990.54,9573.21,9046.42,3983.4
2013,"Public Works, Transportation & Commerce",Transit Operator,68912.13,3876.08,1694.05,19086.43,13961.4,5485.36
2013,"Public Works, Transportation & Commerce",Police Officer 3,257.23,744.91,1.77,52.62,26.91,16.75
2013,Community Health,Patient Care Assistant,7958.4,268.6,517.14,0,2296.57,676.96
2013,Public Protection,Firefighter,116956.69,5124.81,18048.49,24691.61,15788.97,2381.18
2013,"Public Works, Transportation & Commerce",Transit Supervisor,49063.24,2582.08,2339.19,9260.02,7132.44,4467.98
2013,Public Protection,Sergeant 3,143289.12,59577.33,14252.09,27260.38,12918.24,3670.51
2013,"Public Works, Transportation & Commerce",Transit Operator,58789.9,11876.98,1130.77,14034.02,12415.09,5033.43
2013,"Public Works, Transportation & Commerce",Wire Rope Cable Maint Mechanic,77388.53,23903.69,16442,16647.95,12726.9,9206.02
2013,Community Health,Special Nurse,10707.77,0,1803.98,403.46,0,1897.62
2013,Culture & Recreation,Gardener,64641.02,714.9,340,12769.35,12918.24,5428.51
2013,"Public Works, Transportation & Commerce","Chf Stationary Eng, Sew Plant",109742,16115.61,14685.91,23057.38,12918.24,9847.2
2013,Culture & Recreation,Swimming Instructor,1524.75,0,58.9,520.05,0,20.3
2013,"Public Works, Transportation & Commerce",Airport Communications Disp,68509.1,7895.83,5302.43,13073.81,12801.79,7170.2
2013,General Administration & Finance,Junior Clerk,636.96,283.86,0,0,206.34,71.29
2013,"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",78155,0,5861.63,15331.43,12063.23,7171.91
2013,Community Health,Porter,46516,4553.27,1347.15,10573.93,12353.61,4183.26
2013,Public Protection,Superior Court Judge,9463.64,0,0,0,12801.79,137.23
2013,Community Health,Registered Nurse,96147.04,0,6209.2,21537.79,9555.85,8138.42
2013,Public Protection,Personnel/Payroll Repres,81147.38,609.51,0,15917.15,12918.24,6712.76
2013,Culture & Recreation,Security Guard,59755.89,3318.63,1762.4,11825.62,12572.74,5352.14
2013,"Public Works, Transportation & Commerce",Asst Engr,94094.88,0,0,17134.61,12777.23,7834.06
